test_index,loc,v(g),ev(g),iv(g),n,v,l,d,i,e,b,t,lOCode,lOComment,lOBlank,locCodeAndComment,uniq_Op,uniq_Opnd,total_Op,total_Opnd,branchCount
23,-0.030076268279977968,0.009196783585448714,-0.011171589085701044,-0.03564499266676677,-0.0038447715107406567,-0.009830284373848884,0.005980365312002505,-0.0011299656543377523,-0.0010676874675942826,-0.00142726372212735,-0.004120632213700901,0.0005353704305031215,-0.00816358130263552,-0.001893578489173251,0.004878745961805464,-0.0023464910646794125,-0.0035312736292246426,-0.017924880076518265,-0.010735832328020365,0.002892566387649822,0.019404600588018753
29,-0.04646631406103552,0.011582220406139924,-0.017059701154777826,-0.01972329917234191,0.0006601580507555127,-0.009988978387760028,0.0075347718350653285,0.0035481984551773847,-0.004105218316308026,0.004371435590391002,-0.0011361506963208966,0.005092936819076499,0.0017496015547456523,-0.0003756504124410753,-0.03266335672948685,-0.0020676527785474263,-0.010913678785216234,-0.009603617980261846,0.004738269950890981,0.0025344350431026896,-0.004525193794823395
30,-0.010868067397428832,0.009246650397980432,-0.0004921656070553126,0.02133964203115397,0.004841725608588377,-0.0010874160722380566,0.01336260258884522,0.012089053536492998,0.004680632976827894,0.00769482711803505,0.004729946915359733,0.0094402722327726,-0.0019807875254474537,-0.001907817691362652,0.019317554508777163,-0.0009687862765599675,-0.0004337677748827673,0.005160525872117603,-0.0001590922526781924,0.0034662101017096346,0.0017030499309066726
32,-0.034279703324873484,-0.007746165843135486,0.02773670580401131,0.034161084699836405,-0.003369196893533797,0.0014099407711660205,-0.0010695039704026498,-0.0011602474076303792,0.00432285718663536,0.0017649553815104468,-0.003765316291471663,-0.0022801188009245266,-0.0002772740488072145,-0.0016114199363198621,0.013399986415312242,-0.0011695466744140503,0.0020288806731008436,0.001332448751667812,-0.008023034448611384,0.00024486708109748177,0.0018058053186734923
44,-0.020768843963601853,-0.014061257538845667,-0.02415875790619111,0.021414933152667574,-0.009527818012956005,-0.004844449191964486,-0.008858588427142423,-0.01404973384555376,-0.01701823740422469,-0.005208171315587151,-0.00643194506979853,-0.005618634264686193,-0.010022026979544307,-0.003943898698623798,-0.03443000658932931,0.011034011611867527,0.000510005724793814,-0.014724608590230446,-0.0077454331223282226,-0.0034834429186892633,-0.009317282180830944
49,0.05302541844677137,0.006576619526770173,0.037730228612178965,0.011429560281662247,-0.0022859051251472805,0.0008579016098363468,-0.03572675498294558,-0.02883400009005527,0.006164423064248581,-0.0086738793968712,0.009391864108197865,-0.004579079280507301,-0.0030444059728823446,-0.00855649548070943,0.008417982723560442,-0.0026368195782720248,0.014168512870946585,0.01445756630678943,0.00014675744796946333,-0.01730830217831823,0.008291736495703503
51,-0.046895558771649914,-0.011153647935019535,0.025436778597886588,0.0024027524768024475,-0.00433516621049705,-0.0003809790783924427,-0.00046860685348804054,-0.004173454133676841,-0.0007863104089756235,-0.004320961080240124,-0.00188045214951444,0.00353565891995828,-0.010773929063144293,-0.003198224810574288,-0.02532331142426699,-0.0007983614869112899,-0.003486908908308521,-0.0030526672424474556,0.000564458906769687,-0.012575764582171018,-0.009109364793754366
59,-0.002212539276076768,0.010044072488474285,-0.018958687052223696,-0.03583126149560144,-0.002909766467957411,-0.0027450889898454987,0.005402970319426572,0.006773203274075285,0.004442216643114704,0.0001466728769622705,-0.0031003145679858336,-0.0007516970280346413,-0.005421931446255144,-0.0025587060116276914,0.01944457750444144,-0.0015583307120493827,-0.0005126965008869888,0.010087624720817132,-0.006907053322934189,0.0006225437653603194,0.03740498462940252
65,-0.04332459615759035,0.016210482106885422,-0.017324584972704997,-0.040550544275049276,-0.00360877860666676,-0.008123884582380754,0.004061179029239952,0.002327302281370862,-0.010057754342225564,0.0020186096747363534,-0.0018564712817669715,-0.00026076899544534625,-0.0011714418816053751,-0.0015433692540000265,-0.02737324884269441,-0.0021498182745961,-0.009447674697700564,-0.008269445045926886,-0.009385257886679313,0.004152434438158253,-0.001999654986756809
67,0.10338174667373863,0.03670645134869858,0.041556942234969085,0.05245968002401071,0.0046159677014753694,0.010621778284422305,0.0012246271155393628,0.0013000795298174239,0.02561899024973087,0.003743871209297396,0.011522490476883149,0.007349011488461201,0.018953829059112623,0.00831803955691214,0.029137259291350973,0.0030072520857606835,0.01726546683365399,0.029332343389814924,0.01772845768267672,0.006945359815890697,0.03432252172600045
69,-0.01927204538486535,0.0007254127720125325,-0.012703687598434498,0.021659025807883835,-0.0005581249159189384,-0.0019595822119441663,0.013644576359444044,0.008434414139402975,0.0044906382422055914,0.008942269669138908,-0.0005427453288211837,0.006066424176137844,-0.005413213371036818,-0.0033533202808098393,0.00472389235795049,-0.0013302541229063536,0.0007769144062530131,0.00035401211659831234,-0.0018427922529843954,0.00744856987072751,0.0033725252576198273
70,0.03749330697947073,-0.011408763521037599,-0.022398191167771416,0.012420146882075187,-0.006341774415916745,0.005968661739887864,-0.013173113048686388,-0.00805423197095621,0.005551267380952254,-0.01976539119178341,0.006281828482750029,-0.014505037476423297,-0.0028388122163454455,-0.01460990403447596,-0.005501633693410213,-0.0019314885586004494,0.007095857550716005,0.012604100145410656,0.0011046521787909569,-0.02094977911188579,-0.0006988633894081886
71,-0.06827789206489059,-0.018078722642521826,0.014095933482688566,0.006243490151538253,0.0071164618331056315,4.809153189199833e-05,0.0012088945686519993,0.01810483756792337,-0.01498952041211254,0.00700612729641449,-0.005452872480747714,0.002089629741016097,0.00912997404971236,-0.0011019805254713333,-0.016781546782554245,-0.0011079540483092387,-0.0041609012198298954,-0.009806812942546515,0.006463561173478354,-0.0013983696097831454,-0.011451476571194804
73,-0.009966445847574334,0.008250475940101865,0.016221534158197527,-0.0014419149684499644,-0.0005525120926185423,0.0073956900491367605,-0.007292130745304064,-0.007178073200365418,0.006542293636562136,-0.0026163907691707775,0.005271049786624644,-0.00616915964536787,-0.0002568045346313852,-0.0035455146450703977,0.0011396408916925793,-0.0018256817121095992,0.005994030003820399,0.0064668753453759106,-0.004433653273726179,-0.013309957966471586,-0.0009664256759327828
76,0.01906426873791105,-0.005677643396007852,-0.015678010535173145,0.032682194663732386,-0.005340692232027208,0.0035077280651540834,-0.001068360905154293,-0.008783192695470348,0.015993119700559645,-0.0026735328965872894,-0.0003937916784582285,-0.006276846342178146,0.007923080016875588,-0.004718866787370644,0.009296133837669912,-0.0010028245473438346,0.006764677052983643,0.008357259816156102,-0.007821777611960385,-0.0026657253735851327,0.0024375406935610044
78,-0.034848863486359676,-0.017681307205368455,-0.0166155197367749,-0.06831117758064437,-0.0005768824434747444,-0.01142979743249242,0.004598987856687984,-0.001151250195961211,-0.007303551685559739,-0.002498584081488957,-0.01199873559429193,-0.002196834223904318,0.001735753994428535,-0.005508887899152342,-0.02053940642766463,-0.002291550361016448,-0.007909549491357097,-0.014034144705092899,0.00441624612045942,-0.008161916335347429,0.0046850570133602784
99,0.007886987643007047,-0.016179326635055988,0.019526487494673575,0.02808544093957778,-0.005940973871716437,-0.0030325532522186903,-0.007275440768801218,-0.005624356919890658,0.005049527569866541,0.000583560702519037,-0.005014230207515311,0.002429449616905117,-0.0016671525437388368,0.0013062002610632817,0.01286119853931325,-0.0008027333491781973,0.007013442876734075,0.003209423183313902,-0.007687548296394766,0.0009140066849136019,-0.014268020370706722
109,0.020812460278331172,-0.0012496710536254341,0.03174780616157477,0.045698964683154486,-0.004084839681536607,-0.0010066464919515283,-0.005095609187726211,-0.0070205927980831005,0.003829157470991618,-6.927897787903703e-05,-0.006922125017437111,0.0010868220007398577,0.0016836840451713896,0.0043933778859849325,0.011681065369818952,-0.000529170191899766,-0.0028886696424103775,1.1225923012148087e-05,-0.006842925550443511,0.003111666032110634,0.00804278149593017
